"n_p"	"r_m"	"r_selection"	"sd_fluc"	"X1"	"X2"	"X3"	"X4"	"X5"	"X6"	"X7"	"X8"	"X9"	"X10"	"X11"	"X12"	"X13"	"X14"	"X15"	"X16"	"X17"	"X18"	"X19"	"X20"	"X21"	"X22"	"X23"	"X24"	"X25"	"X26"	"X27"	"X28"	"X29"	"X30"	"X31"	"X32"	"X33"	"X34"	"X35"	"X36"	"X37"	"X38"	"X39"	"X40"	"X41"	"X42"	"X43"	"X44"	"X45"	"X46"	"X47"	"X48"	"X49"	"X50"	"X51"	"X52"	"X53"	"X54"	"X55"	"X56"	"X57"	"X58"	"X59"	"X60"	"X61"	"X62"	"X63"	"X64"	"X65"	"X66"	"X67"	"X68"	"X69"	"X70"	"X71"	"X72"	"X73"	"X74"	"X75"	"X76"	"X77"	"X78"	"X79"	"X80"	"X81"	"X82"	"X83"	"X84"	"X85"	"X86"	"X87"	"X88"	"X89"	"X90"	"X91"	"X92"	"X93"	"X94"	"X95"	"X96"	"X97"	"X98"	"X99"	"X100"
"1"	0	0.9	0	1	0.934596657134402	0.933969886811076	0.910577181496709	0.947360793980504	0.919655444248925	0.906711201656482	0.927995069310619	0.921135669830996	0.924723514692998	0.871086807931151	0.94125029622367	0.918119857742558	0.950648126155642	0.916522106467452	0.902637377949434	0.924888628672284	0.947196120176075	0.926822289065716	0.836654964588552	0.931365475871513	0.898250289183936	0.907101063256395	0.958446235857979	0.907314819442441	0.886475443166432	0.873175446015101	0.841799949922188	0.932084694238322	0.948915273216044	0.86756756520539	0.929867717176801	0.921883456749854	0.940785317863342	0.905557104471007	0.893132868386332	0.929806819573011	0.898704601432684	0.916824516163697	0.946260663682085	0.908660540164266	0.888394909225672	0.92264676139791	0.904550012599083	0.936441676556953	0.93959990368991	0.905228292047866	0.911614113863265	0.937429954663609	0.86197004116988	0.945343551438232	0.941364123900885	0.912987169086562	0.915917346019171	0.932809012171483	0.940734939123332	0.928066460176952	0.910932996617183	0.844014391996043	0.933527963391464	0.900726705371917	0.931843275658407	0.918062684520458	0.933863023057832	0.914854867308806	0.924027462055189	0.917895032093072	0.913508658413009	0.94952283100899	0.905759229891504	0.934918310155208	0.898131588803249	0.914481825154072	0.886447224474436	0.879205401829297	0.886694356263083	0.883994057235975	0.895131047772916	0.935176264071627	0.917844867940114	0.89807529271511	0.929065206011781	0.84592085862095	0.911867055589687	0.916003522437157	0.887517655763558	0.928537556142381	0.917647157752155	0.9327472205636	0.85112902494247	0.954661935678688	0.911284561569079	0.91581024092242	0.900529922283678	0.885515450407739	0.917890411846055	0.904015635188017	0.897971759819659	0.927995846499612	0.911435676032512	0.902469352622435
"2"	0	0.9	0	2	0.722017347911444	0.63028583897885	0.515249701824086	0.726173655358555	0.66819642174606	0.737571590034346	0.711697201297744	0.566913455619174	0.759147293378312	0.695688210744898	0.637094745883838	0.672991632955192	0.756762405980498	0.738903384203973	0.753087714050069	0.670853752783913	0.622888836013664	0.645829317645425	0.603910303903187	0.683717332294207	0.780740666241636	0.814868085001596	0.671043112687784	0.553346266294179	0.581015032274844	0.529324409552953	0.725031286658029	0.820077957983391	0.698122049300067	0.696213664167238	0.802640875212798	0.586591989263562	0.755145806394467	0.664394225484498	0.577876719535855	0.717434878440949	0.646691951297402	0.629016725924835	0.664239372060305	0.778961679610775	0.627045547829459	0.750787530703437	0.781104806737893	0.602868642779094	0.733895468885041	0.751822446199476	0.719394463680175	0.598610039544016	0.702659207534844	0.665438278348589	0.626098149653219	0.611083856481875	0.760408851438835	0.746466020757121	0.823970487608168	0.668999646842688	0.772144996566957	0.68879295554503	0.709202213441748	0.625400097221659	0.583271151368033	0.66073225684483	0.640795269018184	0.687811649026829	0.701977631741738	0.587776059430447	0.77363175172085	0.741374919280042	0.757206926976495	0.816341379622597	0.80263462297304	0.685032986511294	0.801241610451852	0.773218211945921	0.775718748114404	0.697140935113392	0.666671144240992	0.779373557811332	0.80755801931619	0.620131622686469	0.535545906674598	0.756597874831864	0.659406628968681	0.626493655172947	0.722782423929632	0.639795746604883	0.8047173785971	0.724051829168273	0.750649952123546	0.729381180325369	0.769079709644497	0.801453462664819	0.749630200174034	0.667165576432646	0.698494300891614	0.643660536298364	0.660851306854956	0.660069568710235	0.725423148251021	0.709556575266081
"3"	0	0.9	0	4	0.421669369428205	0.388396411393446	0.268686593056914	0.309945452903691	0.343911670923185	0.430361066059109	0.273237315201759	0.451456292267211	0.170209433846805	0.267675489784406	0.199999816149973	0.318696990691112	0.347272221331301	0.359532699341442	0.174540953613707	0.489498197696558	0.264373863501944	0.153205849662088	0.32435216328597	0.230254972852574	0.338043329803826	0.188154237168956	0.402539654087114	0.263986202920403	0.3313106377416	0.312681898955782	0.234658415530814	0.386363071269477	0.148742668111251	0.430854004992033	0.161884721770843	0.364233453590401	0.167403369715788	0.304154891729112	0.374696080512755	0.304391408943486	0.399846198929734	0.128126809064919	0.305683151009563	0.0537045129480745	0.211620745824278	0.070517400925963	0.153021040494403	0.413255481460947	0.450127980691629	0.325774449279122	0.279604666746962	0.196422403695223	0.210148808269003	0.342337518099955	0.214948749541627	0.34927209554848	0.181961709522689	0.339267819960697	0.288692507428939	0.420199616378991	0.184843668160451	0.463759925531726	0.413291165298564	0.278095140340817	0.350027807496169	0.235137457883446	0.398633391786018	0.413210333367128	0.371643573994404	0.134177265664407	0.230399755628614	0.299525192214595	0.200981058268135	0.246326414638818	0.386551039027212	0.288318564556215	0.2560098570878	0.17752350223751	0.214986108979221	0.188636924364096	0.246666501798912	0.269933454124752	0.162574520924304	0.310589161411611	0.171918126769754	0.206073230850257	0.2276892490678	0.204152237475205	0.220200788348145	0.328342022852987	0.436582430364463	0.323739235792222	0.395494336523209	0.362453554780651	0.306926887353904	0.314291995880404	0.237144749638476	0.12007750315316	0.117404650130544	0.174245102234106	0.190852357734849	0.19966451499886	0.190994913614218	0.138008529932662
"4"	0	0.9	0.9	1	0.890153062481268	0.87236076378066	0.919961631329803	0.958365398009513	0.957021817591159	0.893281624999762	0.96776612700706	0.92447125283849	0.94693328894585	0.896098785852299	0.948742268931056	0.947166095102667	0.721627881572439	0.919829085121365	0.973598957260776	0.910113365250916	0.960446535417261	0.930005499035966	0.934531549643303	0.956562137270845	0.952149145000662	0.914918407258429	0.949029629686102	0.950799599736209	0.966196568190297	0.901003688966157	0.980544359361073	0.939997871997079	0.874570666603714	0.966063679295362	0.952765507452156	0.934180814016491	0.925575500024238	0.887716326687538	0.910054885533398	0.793866035521994	0.931216318468136	0.937430547968939	0.968770934659398	0.856498333265234	0.93533588933587	0.860362487467735	0.90590710429976	0.85865409566488	0.926510602307193	0.788373420580563	0.86598122810019	0.807296009145642	0.799720051168312	0.917164736855304	0.921598096485035	0.956925538718952	0.948566762321762	0.890841751577116	0.902052107374011	0.905278466628669	0.819319071907867	0.903941564942075	0.922998326912967	0.973378045202486	0.933903497084833	0.799596373558913	0.829159909605414	0.954744732987783	0.887275405781998	0.929347217684669	0.921189775229636	0.941876374741918	0.914579296925936	0.960221107821808	0.803503965653188	0.913805500146244	0.948452024718134	0.901872703649031	0.898105362728354	0.935926816163363	0.936487084743553	0.951911994166504	0.94734848127423	0.93632584293331	0.961109231617865	0.940191740463782	0.919938193887408	0.936951426561591	0.916772865451321	0.886430143296425	0.933306419821471	0.80705758251419	0.896857851442355	0.972427380331736	0.95859647850282	0.934152998315738	0.957329254101337	0.905041837173863	0.94935592491305	0.923025629282448	0.924379156920504	0.916503150189469	0.89449962048672	0.971194901307495
"5"	0	0.9	0.9	2	0.878485431850039	0.785247951873904	0.227591026518802	0.819539740488066	0.696507734185116	0.785757183854287	0.705133857670685	0.720586994482349	0.501913500180715	0.70969357805885	0.594344704942747	0.824258672437297	0.781078572048307	0.710890710334376	0.470469132492728	0.763193110470586	0.564915838066145	0.615655371051071	0.815679790053585	0.790268596789471	0.703775935472665	0.826821714751515	0.673325477347856	0.839225586939907	0.867272931418486	0.740754650007395	0.694213377312788	0.711800452751617	0.844153982880077	0.830478479021663	0.598120374054314	0.757963257852417	0.66138608447384	0.609026592423695	0.60230981895663	0.630824128181912	0.699615451640529	0.60509401986514	0.777807658101076	0.781569535911373	0.795632695255456	0.875125201033827	0.577873990734778	0.830007440256301	0.768198912914013	0.730708681917261	0.881762140491234	0.851788491113689	0.766105535909922	0.534541495488948	0.714669604427648	0.733612747285011	0.791030365704322	0.863506295882138	0.756009307483619	0.635675444424454	0.823616087975913	0.846723718863457	0.662187904912744	0.729296571870098	0.645581428221434	0.798332457524407	0.738965845772772	0.735825620087187	0.689350087010972	0.573544434977962	0.807771949881236	0.439912553230421	0.863096551841486	0.746482687170571	0.5883444109922	0.765154552004627	0.630353602321326	0.894829972807365	0.769736840187926	0.695684572064646	0.663970662576993	0.695731987428225	0.711643861217625	0.795609843617983	0.613382091125728	0.882506500040554	0.855986326287706	0.812938460960768	0.560877164703695	0.853942708886324	0.783992046192385	0.784073727687829	0.794316355243764	0.777283299168649	0.866159128428863	0.899925308176853	0.625949535074411	0.62467464753377	0.829931394115139	0.493124942321135	0.670624515202748	0.763689790271163	0.61268906783779	0.892921184848183
"6"	0	0.9	0.9	4	0.277703407660265	0.38616290818976	0.517154410530344	0.0955985972150097	0.376008969393992	0.511605700288051	0.102909493902811	0.385218502256455	0.459222341106335	0.345787743286235	0.409443457485113	0.0953995952405944	0.388790541682377	0.0310002489787548	0.520777986475989	0	0.37085345697094	0.291556615052627	0.418814112787617	0.195169070241941	0.493338986019043	0.164043860852276	0.0624186905883669	0.226424464492882	0.0681000997308842	0.56208337731103	0.10867513920438	0.317196267174001	0.305881984162987	0.268686315797272	0.288666642811668	0.171239434637929	0.436568446892088	0.26890264467314	0.164491003790578	0.552414920022376	0.393771455964051	0.702633005755699	0.240443325895256	0.29233258446251	0.4925202906401	0.52079861999567	0.0478709696451175	0.335095868418744	0.520231242178278	0.145922270684617	0.302042809950667	0.380600260259021	0.595421537677352	0.537055760926189	0.118209748917933	0.0586004635286512	0.595107273505888	0.655897340941063	0	0.438397156551169	0.440804262231338	0.2540023020785	0.288354770148754	0.558840199427212	0.556258455723382	0.167626542654232	0.333649027016071	0.219179952357889	0.512613794257515	0.174020223519485	0.389035037073608	0.250303762156161	0.0999237673840858	0.372419137118114	0.23626551493322	0.536294494103628	0.381864177488567	0.393952326886178	0.137984913608655	0.137661469567225	0.541028747868894	0.367437016206051	0.0437669972464591	0.245628277290459	0.390846165776595	0.319514405912318	0.674110530750535	0.141978001014532	0.199592648731371	0.501232861440536	0.461075770078752	0.405473697540914	0.482557336091105	0.689153562176225	0.34047287609351	0.44796059300018	0.57516162408476	0.565489041678022	0.425079119691518	0.253336418900878	0.455870843350449	0.445428633999132	0.664158897423762	0.151169772861764
"7"	0	0.9	-0.9	1	0.973776489179007	0.928614725771038	0.873943002413687	0.962409270787501	0.906552660227788	0.886692515658027	0.969178451901738	0.964493904561937	0.882510403705077	0.946230849316064	0.960722381863172	0.940784227089106	0.937047269601694	0.902284595487286	0.9521032073898	0.949690674672884	0.897926989395254	0.909297185742862	0.964289225382166	0.925898825891965	0.923952524670846	0.948789427225834	0.950816508030476	0.918078127449005	0.823411321029176	0.922310039646889	0.959807281014402	0.95674115253002	0.919766196996408	0.972272763315699	0.896861852827473	0.898208092835422	0.819958462317139	0.935952123385843	0.943194431896012	0.942541882707133	0.960468308898827	0.916819934802428	0.950636182916121	0.843624104794095	0.962850634516118	0.955225349300436	0.891716932929674	0.938251584029805	0.929935770559937	0.970387938644913	0.86657010003055	0.933502246011515	0.802608617788808	0.970519644022003	0.906853445353176	0.973467634823666	0.949856156262411	0.905795254858563	0.92835199199928	0.973058166286134	0.930418539943644	0.948880236861971	0.9504328212894	0.955635814544333	0.919011941796833	0.809289576250288	0.958632470248663	0.939178771125385	0.96255758954063	0.891815516512317	0.904280778212581	0.960058520874478	0.972132165507379	0.950900269926681	0.917482989200551	0.866366505455682	0.966481546037481	0.93939647610706	0.946600953678986	0.818282380939762	0.895817942817492	0.92430407258351	0.915746892576326	0.972736157990762	0.860431541989044	0.969240474621654	0.935263850650238	0.94861745061405	0.938256122258799	0.92988937184154	0.929069361362155	0.945789190736801	0.904240120964462	0.953789023888833	0.974746458078095	0.9595858735305	0.941238147177561	0.92932901922268	0.855158985148227	0.942996082269886	0.948006371626073	0.959114734286616	0.92784803819465	0.96462991533102
"8"	0	0.9	-0.9	2	0.548925937027633	0.817982500950271	0.87802424874504	0.717272514444656	0.366897364263216	0.806528336752818	0.717270336351215	0.698792926065589	0.813438527654183	0.666925834520354	0.715123529422984	0.730783309453714	0.737934671839268	0.820596338617604	0.749114746336409	0.764079553253676	0.81081065187047	0.770609113101513	0.814137984376746	0.529076816989406	0.726139373401291	0.730907415906102	0.791445890679591	0.855968101396085	0.84661734631381	0.840790488718248	0.564624623499882	0.805893765811617	0.607990060247538	0.770927735230652	0.540162341517877	0.791408321545053	0.612051030880892	0.762497628911621	0.813134947829032	0.879246141172409	0.712883252568616	0.860911379890975	0.666175913237652	0.697258737251037	0.879760357136806	0.777006835188793	0.698141806769144	0.72945579570972	0.78800206953594	0.839901174876972	0.49054488665799	0.698263547598848	0.562681401414084	0.753501661498034	0.372241147993182	0.794601689464635	0.714200254528865	0.835631806937125	0.847961821575486	0.618229931007664	0.74613486212055	0.845545243150045	0.819657112640906	0.882887317533921	0.711169150681467	0.568300418931297	0.59869479856569	0.839603421157711	0.789480814968563	0.654212961359805	0.689459281264373	0.670478406813637	0.716687877129059	0.546589818989564	0.670685729647642	0.620271014923069	0.757032727028837	0.767686259736045	0.74848209455455	0.681313306809256	0.735972973173276	0.82890584531329	0.746234369578083	0.923957141634659	0.62203541771246	0.603209691733863	0.43113739028681	0.78820420870496	0.800841166592706	0.563255755461914	0.627996372181143	0.911373719653939	0.588697316771934	0.813129529985326	0.728557597050783	0.464504522153185	0.702901853456036	0.744456037195218	0.592486092061298	0.888314339946254	0.490964993489399	0.620308083658528	0.446280128120883	0.86739257569388
"9"	0	0.9	-0.9	4	0.429264146504431	0.558157880426174	0.376683615554769	0.319561695326118	0.217131646260735	0.096027427730772	0.0422594179084697	0.329244077616062	0.251291320460461	0.205749694561124	0	0.407383684530109	0.240928460586908	0.355158051464897	0.1623284250655	0.257151522443611	0.068162940581677	0.148643558779014	0.0576295839099106	0.150481151378975	0.651621763285262	0.323484526507095	0.420026036571851	0.156388526037817	0.467701906358228	0.197402173393014	0.0898770482944082	0.397450073428243	0.658864049160703	0.14458599397155	0.262909909376001	0.262729172053878	0.653086775875926	0.196188419467893	0.562436321865202	0.288225577400633	0.511710476870149	0.207030975120449	0.102620585286162	0.137347320983282	0.401832921561951	0.373261529675613	0.203102788282427	0.488285315466133	0.305030134549164	0.502586927070842	0.0416012197349277	0.255164162100988	0.417589315264428	0.290549751393525	0.218239090745249	0.364236454848756	0.0626946082310818	0.0275375922092769	0.17813959235312	0.537671239659396	0.580226603690538	0.340620374156006	0.476349903367551	0.507689812046662	0.164360565963629	0.374404751793367	0.461417486087603	0.225918457221011	0.0683875523069971	0.617460817899667	0.396524274795866	0.243294407821025	0.234626170692889	0	0.0530281441457629	0.425223716675679	0	0.267726395332428	0.243738230872635	0.570027982402036	0.217734458277586	0.438704500031099	0.124248373946989	0.258806423145913	0.468947641671472	0.360461271671253	0.371402686611278	0.0963405174981831	0.0733599161106042	0.503761304766875	0.164829004190211	0.327532210168409	0.359977908417887	0.418991365246234	0.477319422647208	0.121838835587581	0.120929660319118	0.490369122627424	0.17781322855748	0.749304647680343	0.0350117280523978	0.452588320504755	0.250060794682019	0.354608294200621
"10"	0	0.5	0	1	0.923802060653762	0.922758534523121	0.879965845860867	0.915716570375786	0.931628700713519	0.905328967525122	0.893298609758977	0.937180868357566	0.942047214613125	0.945529955152985	0.874826503065435	0.890124148428678	0.888541825516825	0.895656372598543	0.944475854861481	0.931454780191161	0.937913680625398	0.940215554364164	0.925972665064115	0.881646692581479	0.927346660425926	0.912787617692236	0.938969163251598	0.934187525480527	0.911693929337583	0.940853243276358	0.930004577296677	0.956389986367647	0.927873476984497	0.918653903594731	0.889980265809009	0.884154827196891	0.923156737816035	0.929418015821873	0.911017019067491	0.922091736937458	0.947802330860118	0.925075874440545	0.91370032844894	0.924677635284906	0.92640730394092	0.901505538869068	0.927102068799595	0.878593383988491	0.943129084549964	0.925104597693597	0.931221067443009	0.929600496392119	0.914946438675848	0.93476672857177	0.908134073838898	0.89773633214657	0.91264886047994	0.94196876475505	0.918230053020785	0.892874296088144	0.928483077746972	0.931601093687082	0.893408330402107	0.918254043460405	0.896746287017631	0.920212053030906	0.941275790397675	0.915970234972743	0.930929327723926	0.918941238850332	0.928696623036608	0.92937720185533	0.945699198255779	0.934762086361153	0.897047205196314	0.921321341721268	0.874948468828763	0.924219317940242	0.941567963455664	0.945540748533545	0.946869061528893	0.927037503153802	0.913682184047162	0.901352499590213	0.897660116437915	0.915997397582574	0.963756983826749	0.8604431078644	0.939617545171782	0.893809196007634	0.934048406666843	0.942616277001901	0.91940471059111	0.920968972341277	0.916451533373314	0.891144065598971	0.920684365823318	0.932533823510095	0.9201238740789	0.879190252021628	0.903862565010513	0.905715441597541	0.913814729415424	0.93113494126758
