"fluc_rate" "selection_cor" "cor" "pv"
"1" 1 0 -0.469906254465367 2.7537970359197e-34
"2" 1 0.9 0.0523382745394728 0.200466093945786
"3" 1 -0.9 -0.447162757674413 7.78715702824204e-31
"4" 2 0 -0.540739478297973 7.33490931606377e-47
"5" 2 0.9 0.0409026942766024 0.317196016299363
"6" 2 -0.9 -0.433489780333512 6.98968830320542e-29
"7" 4 0 -0.508392818371837 9.43682107343905e-41
"8" 4 0.9 -0.0390182908071753 0.340023241446018
"9" 4 -0.9 -0.371470318375758 4.54174710104676e-21
