"Ne"	"n_p"	"r_m"	"z1_opt"	"z2_opt"	"r_selection"	"ln_z1"	"ln_z2"	"var1"	"var_2"
"1"	1000	0	0.9	10	1	0	0.110045154541494	-0.00479565590054513	0.00474576123971748	0.00791786992161953
"2"	1000	0	0.9	10	1	0.5	0.15226171384475	-0.0511610136446953	0.00796699757249676	0.00359305548534475
"3"	1000	0	0.9	10	1	0.9	0.474761546503444	-0.436813144718397	0.0029722371046421	0.00213302593984121
"4"	1000	0	0.9	10	1	-0.5	0.155691972712334	0.067151895031882	0.00390631019202498	0.00369436629587773
"5"	1000	0	0.9	10	1	-0.9	0.487199298960665	0.429659506195511	0.00388730004437808	0.00247717215943374
"6"	1000	0	0.9	10	10	0	0.117473611421088	0.106721306113477	0.0048133235130996	0.00437694624935099
"7"	1000	0	0.9	10	10	0.5	0.0914227871248856	0.068811980575419	0.00435270028929466	0.00318592779801079
"8"	1000	0	0.9	10	10	0.9	0.0502715134428855	0.0603881368912686	0.00379922864702224	0.00308416750156398
"9"	1000	0	0.9	10	10	-0.5	0.242438033120574	0.225188189638001	0.00759680479633415	0.00326285743924204
"10"	1000	0	0.9	10	10	-0.9	0.918671144835668	0.901974557135194	0.00230703212613138	0.00320737572822789
"11"	1000	0	0.9	10	0.1	0	0.11126480491435	-0.100213446691375	0.00626641929898177	0.00322880132825174
"12"	1000	0	0.9	10	0.1	0.5	0.235149492616594	-0.22125245984477	0.00574740905089311	0.00481832296106028
"13"	1000	0	0.9	10	0.1	0.9	0.933651207808272	-0.891557339540487	0.00358345839609245	0.00432519965597081
"14"	1000	0	0.9	10	0.1	-0.5	0.0792566586172127	-0.061575600936233	0.00547927262238568	0.00447681844878172
"15"	1000	0	0.9	10	0.1	-0.9	0.0688823354024715	-0.0697653175950386	0.00228238898836463	0.00597712170310867
"16"	1000	0	0.9	1	1	0	0.00396146052250527	-0.00800644296959863	0.00686826762898511	0.00455845909244401
"17"	1000	0	0.9	1	1	0.5	0.0155383292817508	0.00275072473748568	0.00178623260565813	0.00754136340629491
"18"	1000	0	0.9	1	1	0.9	-0.0255392307075427	-0.0169198339658242	0.00430554754094843	0.00346536978763389
"19"	1000	0	0.9	1	1	-0.5	0.0150653682158373	-0.0062345453925936	0.0039326068582082	0.0024547070336035
"20"	1000	0	0.9	1	1	-0.9	-0.00161989561114388	-0.0128765427976523	0.00596915264889382	0.00392572201494234
"21"	1000	0	0.5	10	1	0	0.109806798750769	-0.00413604951079993	0.00338113575667521	0.00374439516143751
"22"	1000	0	0.5	10	1	0.5	0.12342880752107	-0.0588722055299343	0.0046348287037758	0.00319217408642096
"23"	1000	0	0.5	10	1	0.9	0.47220138578521	-0.427657720455259	0.00301664225188726	0.00464425118137844
"24"	1000	0	0.5	10	1	-0.5	0.174098505756664	0.071441308973002	0.00627876356551453	0.00798354311979423
"25"	1000	0	0.5	10	1	-0.9	0.499161552913761	0.410246944604082	0.0044771852497623	0.00430247217500225
"26"	1000	0	0.5	10	10	0	0.120389315466891	0.116737911317282	0.00687530120684221	0.00441659903993117
"27"	1000	0	0.5	10	10	0.5	0.0564122944434527	0.0948916314901165	0.00528399748725327	0.00510214288172464
"28"	1000	0	0.5	10	10	0.9	0.0651707337547018	0.0649795211373453	0.00392469742057774	0.00362869658049758
"29"	1000	0	0.5	10	10	-0.5	0.2230058871522	0.2288009149312	0.00392417292615026	0.00708954410606374
"30"	1000	0	0.5	10	10	-0.9	0.897553665186199	0.918605468729784	0.00407212974458723	0.00367333937547789
"31"	1000	0	0.5	10	0.1	0	0.0799090739370562	-0.0754794429246703	0.00205681630219946	0.00486664908859694
"32"	1000	0	0.5	10	0.1	0.5	0.2612873988797	-0.207999497897116	0.00600404594100585	0.00379554357105384
"33"	1000	0	0.5	10	0.1	0.9	0.919911712229293	-0.916588798214235	0.00366528109207743	0.00371916114556997
"34"	1000	0	0.5	10	0.1	-0.5	0.069302279110603	-0.054091370950926	0.00320780367952582	0.00648459008707065
"35"	1000	0	0.5	10	0.1	-0.9	0.0619481759669301	-0.0449443910683892	0.00284356814547338	0.00514892605605338
"36"	1000	0	0.5	1	1	0	-0.0163200628699056	0.0100577289286683	0.00347686734520132	0.00435436614413233
"37"	1000	0	0.5	1	1	0.5	0.0254586283851481	0.00368401623157378	0.005491449274261	0.00378619651612392
"38"	1000	0	0.5	1	1	0.9	-0.0206319119660765	0.00216104483491824	0.00223710851445673	0.00282995803757968
"39"	1000	0	0.5	1	1	-0.5	0.0036166883480556	-0.000263345879403973	0.00466304788479736	0.00259120845227533
"40"	1000	0	0.5	1	1	-0.9	-0.0229862782067624	-0.00354170545379492	0.00542503877077242	0.00383952628874371
"41"	1000	10	0.9	10	1	0	0.103203835482377	0.012021374218728	0.0081526471512627	0.00417361501894264
"42"	1000	10	0.9	10	1	0.5	0.160485480487012	-0.0495079329444412	0.00571896287077615	0.00213906109238585
"43"	1000	10	0.9	10	1	0.9	0.436344939808045	-0.330452828359057	0.00398855092933795	0.00491400670897988
"44"	1000	10	0.9	10	1	-0.5	0.165729057173832	0.104145423862694	0.00419265889243702	0.00586605319971465
"45"	1000	10	0.9	10	1	-0.9	0.552359489768087	0.460528113754674	0.00405894178166738	0.00493253197814627
"46"	1000	10	0.9	10	10	0	0.129227254906759	0.142557773204095	0.00465677442292575	0.00416347644282764
"47"	1000	10	0.9	10	10	0.5	0.0758665606781291	0.092403744824026	0.00582939236967439	0.00540487745568277
"48"	1000	10	0.9	10	10	0.9	0.0565833909930404	0.0291389306659687	0.00358199719752999	0.00352831808865912
"49"	1000	10	0.9	10	10	-0.5	0.257126474011395	0.252065457931028	0.00255114897464932	0.00572718545089396
"50"	1000	10	0.9	10	10	-0.9	1.03117871927335	1.03150785074692	0.00466197717340237	0.00253273611841369
"51"	1000	10	0.9	10	0.1	0	0.0779380197949459	-0.0950837867972078	0.00370013064370865	0.00374357592364771
"52"	1000	10	0.9	10	0.1	0.5	0.185766694909365	-0.187021075699152	0.00364022523426278	0.00395168953158021
"53"	1000	10	0.9	10	0.1	0.9	0.766539287997746	-0.806602807758874	0.00460045758967384	0.0049489592867667
"54"	1000	10	0.9	10	0.1	-0.5	0.0674011814317709	-0.0742652755972902	0.00390734191348912	0.0043349371986777
"55"	1000	10	0.9	10	0.1	-0.9	0.0718303584521907	-0.0721011049628693	0.00255637341979566	0.00563725252677775
"56"	1000	10	0.9	1	1	0	-0.0183290048479772	-0.00702518301223305	0.00539340174094897	0.00215453735633896
"57"	1000	10	0.9	1	1	0.5	-0.000509839499254257	0.00349051771125319	0.00257448857789174	0.00480736824681978
"58"	1000	10	0.9	1	1	0.9	0.00361470391749599	0.0111581746627212	0.00461698223250688	0.0040548588707643
"59"	1000	10	0.9	1	1	-0.5	0.00723496476114512	0.015972758308524	0.00363412522928113	0.00321090884419589
"60"	1000	10	0.9	1	1	-0.9	0.00674027099357111	-0.0050946743808665	0.00391529520024622	0.00447918733877137
"61"	1000	10	0.5	10	1	0	0.102764457629772	0.0260642488179065	0.00287709966416535	0.00373174730010423
"62"	1000	10	0.5	10	1	0.5	0.129192678229741	-0.0791517914325704	0.00474447812228065	0.0054046676617165
"63"	1000	10	0.5	10	1	0.9	0.428966025218386	-0.375446913002068	0.00406430382554821	0.00400769624123388
"64"	1000	10	0.5	10	1	-0.5	0.156000107122878	0.0818878511669451	0.00527629339313393	0.00645513877268788
"65"	1000	10	0.5	10	1	-0.9	0.528162049188474	0.471449562693739	0.00382610366268837	0.00517446000961815
"66"	1000	10	0.5	10	10	0	0.129260320893809	0.10187489799816	0.00473413055763576	0.0061532455470292
"67"	1000	10	0.5	10	10	0.5	0.1168139657782	0.0801716637982004	0.00444344023348454	0.00456463151478346
"68"	1000	10	0.5	10	10	0.9	0.0732882759545913	0.0766564712380556	0.00511381570581747	0.0043040256760293
"69"	1000	10	0.5	10	10	-0.5	0.245714293870487	0.247324727508081	0.00270279236713284	0.00547502548450205
"70"	1000	10	0.5	10	10	-0.9	0.983889243738153	0.982641516323904	0.00478298103645523	0.00206403069826917
"71"	1000	10	0.5	10	0.1	0	0.121649427843703	-0.0867462369858913	0.00379233747526276	0.00346199857288435
"72"	1000	10	0.5	10	0.1	0.5	0.19764511132812	-0.185035561428127	0.00499468936714626	0.00294422332476848
"73"	1000	10	0.5	10	0.1	0.9	0.831612545644353	-0.833112680694274	0.00299185771954688	0.00477468994528808
"74"	1000	10	0.5	10	0.1	-0.5	0.0858259119587428	-0.0811155579696555	0.00579424634547601	0.00324021297738401
"75"	1000	10	0.5	10	0.1	-0.9	0.0470429581555737	-0.0410972514189427	0.00513198343230434	0.00269919273663712
"76"	1000	10	0.5	1	1	0	-0.00699042809211302	-0.00798145543570735	0.00495850855291785	0.00641274826060817
"77"	1000	10	0.5	1	1	0.5	-0.00929277199576995	-0.00365936543533584	0.00592858381913941	0.00436853555592384
"78"	1000	10	0.5	1	1	0.9	0.0121954871354148	0.0322955181554383	0.0037480351777803	0.00250240856011246
"79"	1000	10	0.5	1	1	-0.5	0.0216770137130055	0.0289129317668049	0.00445260851942848	0.00323172703144561
"80"	1000	10	0.5	1	1	-0.9	-0.00780859912049928	-0.0119378286853791	0.00201641541787899	0.00647559483808625
"81"	1000	20	0.9	10	1	0	0.13559747761638	0.0432628203328968	0.00439022547747295	0.00478494057572286
"82"	1000	20	0.9	10	1	0.5	0.0938861107503532	-0.0268291982828267	0.00597527056628424	0.00782288211503789
"83"	1000	20	0.9	10	1	0.9	0.340520419842018	-0.278121530034942	0.00357211753388327	0.00430245446058929
"84"	1000	20	0.9	10	1	-0.5	0.168646136995456	0.137177909372758	0.00559107931449931	0.00549020964243977
"85"	1000	20	0.9	10	1	-0.9	0.581583726937184	0.538308147099394	0.00487718093066681	0.00303589096687532
"86"	1000	20	0.9	10	10	0	0.1449875661917	0.156368762825717	0.00529819385545869	0.00392230503620432
"87"	1000	20	0.9	10	10	0.5	0.0780613393327919	0.102253058161772	0.00595686208191624	0.00365796415055234
"88"	1000	20	0.9	10	10	0.9	0.0920010973112879	0.103757464856028	0.00376937468060437	0.00393624516345052
"89"	1000	20	0.9	10	10	-0.5	0.303617179979227	0.324616336319283	0.00333121042667333	0.00625250885784248
"90"	1000	20	0.9	10	10	-0.9	1.14896733512251	1.12263423362278	0.00294828409227116	0.00266615917858381
"91"	1000	20	0.9	10	0.1	0	0.0549462253267546	-0.06672620931628	0.00674578545868151	0.00410678338876202
"92"	1000	20	0.9	10	0.1	0.5	0.14223727487225	-0.144633889484591	0.0038281427974694	0.0083839573865872
"93"	1000	20	0.9	10	0.1	0.9	0.64683805388833	-0.624455070832598	0.00618131136778227	0.00374137913073484
"94"	1000	20	0.9	10	0.1	-0.5	0.0625089357067729	-0.0518189027524784	0.00172777785019974	0.00490607240494762
"95"	1000	20	0.9	10	0.1	-0.9	0.0372538221848177	-0.0172604876924321	0.00398970953747062	0.00469395764725491
"96"	1000	20	0.9	1	1	0	0.00656201442645865	-0.0176484787462583	0.00536770968234134	0.00461768970265718
"97"	1000	20	0.9	1	1	0.5	0.00213589222902317	-0.0174289525453441	0.0075605184605094	0.00415246127079635
"98"	1000	20	0.9	1	1	0.9	-0.000238666440848145	0.00269128673445942	0.00442004972906844	0.00175085403601856
"99"	1000	20	0.9	1	1	-0.5	0.000510768361900359	-0.00288271012080491	0.00276150414909307	0.00444050855562619
