"Ne"	"n_p"	"r_m"	"z1_opt"	"z2_opt"	"r_selection"	"X1"	"X2"	"X3"	"X4"	"X5"	"X6"	"X7"	"X8"	"X9"	"X10"	"X11"	"X12"	"X13"	"X14"	"X15"	"X16"	"X17"	"X18"	"X19"	"X20"	"X21"	"X22"	"X23"	"X24"	"X25"	"X26"	"X27"	"X28"	"X29"	"X30"	"X31"	"X32"	"X33"	"X34"	"X35"	"X36"	"X37"	"X38"	"X39"	"X40"	"X41"	"X42"	"X43"	"X44"	"X45"	"X46"	"X47"	"X48"	"X49"	"X50"	"X51"	"X52"	"X53"	"X54"	"X55"	"X56"	"X57"	"X58"	"X59"	"X60"	"X61"	"X62"	"X63"	"X64"	"X65"	"X66"	"X67"	"X68"	"X69"	"X70"	"X71"	"X72"	"X73"	"X74"	"X75"	"X76"	"X77"	"X78"	"X79"	"X80"	"X81"	"X82"	"X83"	"X84"	"X85"	"X86"	"X87"	"X88"	"X89"	"X90"	"X91"	"X92"	"X93"	"X94"	"X95"	"X96"	"X97"	"X98"	"X99"	"X100"
"1"	1000	0	0.9	10	1	0	5.40990714622063e-05	0.000136165700605577	0.000155888527786346	0.000194576800713199	0.000246415435527935	0.000390249576443317	0.00052480961961432	0.000522475289801976	0.000524397624458239	0.00056094433527117	0.000499001488995672	0.000591371512370529	0.000570883414537246	0.000612280473050892	0.000706348428756268	0.000693720136944454	0.00072021681626942	0.00080065623136715	0.000921321368341777	0.000962318754630448	0.00106053919036417	0.00103617628151621	0.00105823823973079	0.000939589589128225	0.000910130500395082	0.00119116504712795	0.00125714793597356	0.00122906738125566	0.00128332148918009	0.00131865833588523	0.00137848035111962	0.00144595301106113	0.00144236532518636	0.00152280195748616	0.00176463262316173	0.0017431864720714	0.00154522808720831	0.00162039645083075	0.00187318996869256	0.00171293524734178	0.00154853656295024	0.00156920179892628	0.00162423916893836	0.00157386808534132	0.00168973003412531	0.00185456540012207	0.00216280051594875	0.0024693178229861	0.00264717473608882	0.0024962317300628	0.00269569018964989	0.00291542588888038	0.00326071034516585	0.00315123232279203	0.00327662215985428	0.00320451482046462	0.00294320181864383	0.00300445671350394	0.00279609862523664	0.00270398753556989	0.00269075895692688	0.00267556853091935	0.0029635952778859	0.00313612910456349	0.00349077571265012	0.00370506927480758	0.00415288650557285	0.00419751999532375	0.00389463836800211	0.00410666715875412	0.00428248139631431	0.00446231189248275	0.00458367762509533	0.0044492931390585	0.00485772755605148	0.00508163077311259	0.00537044669929081	0.00547477020791936	0.00551390152638941	0.00590351926699495	0.006167914235347	0.00620167304916631	0.00606097412793836	0.00633141149902351	0.00660958578479194	0.00683170566407933	0.0066702710848061	0.00658879301497296	0.00627146864620801	0.00672430219236148	0.0064134252494629	0.00675735558757893	0.00729375602070988	0.00764389154308239	0.00770223545724782	0.00760889419770097	0.0074966644647523	0.00768441399892214	0.00826107513298738	0.00791786992161953
"2"	1000	0	0.9	10	1	0.5	3.71929031385528e-05	4.87049514300462e-05	0.000113146541904891	0.000157731259081823	0.000181003263936586	0.000257397201497886	0.000291351685338552	0.000236030851758622	0.000247939123895247	0.000313918958455921	0.000372563966229481	0.000308614119845992	0.000365814265547946	0.00047432984386183	0.000474075882811022	0.000555641975025803	0.000594726886369883	0.000639188763793546	0.000611986052603005	0.000693097340876556	0.000783106642770186	0.000822739683651557	0.000929308270566205	0.00102129939081777	0.00115924422705713	0.00137094755470687	0.00133306630414383	0.00137660702595161	0.0012863564464162	0.00146527268710927	0.00146977499537894	0.00127407430439158	0.00115334060427233	0.00124464573340764	0.00136361985777889	0.00140618258756892	0.00135319805273993	0.0013673383369216	0.00148001587520256	0.00149855657166558	0.00139476379559049	0.00135729440541299	0.00121146217198728	0.00121759744106925	0.00126443941565198	0.00140601905536087	0.00144001283107311	0.00138710910452351	0.00158939657407765	0.00179044095475157	0.00186550166715203	0.00181605394227243	0.00181350270122647	0.00189754246135738	0.00202625364097854	0.00215034353833116	0.00258560972888805	0.00264144196929355	0.00279084614559069	0.00306519509878953	0.00323199128112193	0.00302289159437787	0.00336480752835468	0.00341703964959034	0.00309625071139138	0.00303579898722945	0.00298885236722435	0.00294278347486346	0.00285578941119303	0.00299059262864012	0.00282699091775433	0.0028949084061381	0.00321789538091974	0.00336689544742315	0.00327112232211104	0.0033118290865071	0.00336162295294831	0.00344744971937427	0.00341291232421063	0.0033857625464069	0.00355203369484272	0.00322920690621931	0.00319792979870022	0.00321263858009252	0.00317820584942526	0.00325488168487357	0.00317130140151198	0.00289415951746077	0.00293694249126415	0.00291742437106357	0.00279328274903335	0.00292715075408567	0.00305696199767014	0.00339499893101175	0.00333605792577553	0.00330467316096692	0.0033964133344435	0.00361888112172853	0.00359800788173371	0.00359305548534475
"3"	1000	0	0.9	10	1	0.9	3.76362122099887e-05	6.51710131578113e-05	9.42219473026242e-05	9.43162221561062e-05	0.000127467348042941	0.000174993322374668	0.000258905120469167	0.000271471895220464	0.000267214921731751	0.000314495697665865	0.000339333573723923	0.000346575230999673	0.000377710445897061	0.00042626725208937	0.000487236996542148	0.000484794696949191	0.000462844856122073	0.000465250769203691	0.00050535170819137	0.000471311505902663	0.000577193849401003	0.000731985520300932	0.000733645452477186	0.000806811168886207	0.000811712947405135	0.000749062679465926	0.000691587460317297	0.000874345502754514	0.000901562178485738	0.00080411882752722	0.000873925283886035	0.00104332956727063	0.00122202184404503	0.0013045579148349	0.00142365177620527	0.00141126308578234	0.00137676087235499	0.00144831113758035	0.00152689594537892	0.00151800028852133	0.00152142678873766	0.00149241007009491	0.00162947260690019	0.00164450702168131	0.00171538112303537	0.00188150394373358	0.00171791891793675	0.00172532461100151	0.00173042425353285	0.00159177426523592	0.00167514582391158	0.00196356528257704	0.001839613602024	0.00187397010126976	0.00193040908812124	0.00198577456129085	0.00229811252172018	0.00253263986346283	0.00248401332425464	0.00278596137711351	0.00250746060732679	0.0023968873172249	0.00243014691377747	0.00264331911734366	0.00263605344535875	0.00252068286470063	0.00271484835169953	0.00249536108506294	0.00238519643791498	0.00233967792573853	0.00244313085164236	0.00247412248028878	0.00261297387184902	0.00304435259504864	0.00313062669696912	0.0033955676305706	0.00343635611854034	0.00339906636396732	0.00373182316984701	0.0036089064806404	0.00369884241814266	0.00372194115352452	0.00373901056566124	0.00394585928752055	0.00373973365887666	0.00335147634091699	0.00322523483855642	0.0032867897692803	0.00327470577872188	0.00331868382553621	0.00328690583162539	0.00330596434443937	0.00334244000973167	0.00267693018259669	0.00282134313029147	0.00252874972035017	0.00222866887043532	0.00232202680138483	0.00244807344178393	0.00213302593984121
"4"	1000	0	0.9	10	1	-0.5	3.63358505264493e-05	5.91683722633417e-05	0.000168157128991613	0.000301702294073423	0.000420935621138527	0.00047280453484184	0.000537977540243109	0.000632945858568046	0.000793887755753316	0.000890201030058993	0.000902039130582461	0.000904423380288118	0.000858857023185459	0.000793280879573236	0.000983308531614776	0.00097945570329189	0.00101332308482051	0.00104917690818774	0.00104322578261744	0.00106760423554658	0.0010239219526309	0.00103670311616782	0.00120385357847018	0.00124043024087032	0.0012709914045329	0.00130389065168402	0.00119632813848346	0.0011358279428703	0.00119738850310467	0.00130602871074249	0.00137796698566955	0.00138249787837516	0.00152146841278735	0.00171374092921961	0.00181474860072953	0.00188494063945786	0.00189044353443159	0.00192965651418212	0.00201220444657007	0.00227117445981519	0.00227783200581971	0.00233405011114594	0.00223173274463138	0.00218867922005076	0.00236225466421455	0.00255734961203803	0.00244261679180751	0.0029319436567138	0.00290094306587042	0.00312602629717946	0.00308984625549345	0.00295390267016944	0.00297405724460302	0.00289228356131733	0.00285270485114168	0.00300504119622713	0.00306112305058757	0.00301622354990239	0.00303650289664798	0.00303752582829649	0.00293397529285732	0.00297073619296512	0.00288749106589329	0.00307572723067523	0.0032435427513106	0.00347672707110827	0.00290766404938523	0.00291747174109884	0.00301978033308533	0.00326344697940812	0.00360817372701617	0.00361043372213198	0.0035895386362238	0.00354008231616136	0.00370930838971016	0.00396547944196966	0.00386814670364444	0.00381799804409813	0.00390611607365662	0.00382601649026203	0.00403767191911863	0.00392532690230169	0.00379093640110764	0.00374865858092202	0.00381184306659891	0.00369314239575726	0.00354776762343619	0.00347322968372289	0.00350477422425171	0.0038082065057831	0.0039219863415136	0.00407250267759887	0.00399651273158606	0.00384912278553921	0.00384180660541686	0.00380390407395468	0.00368885042734032	0.00359012292987188	0.00343768226718324	0.00369436629587773
"5"	1000	0	0.9	10	1	-0.9	4.06350768951964e-05	9.06313209643106e-05	0.000179385722495621	0.00020595446304366	0.000201237299056676	0.000334015248525421	0.000360512688987756	0.000380490873387165	0.000465809489049862	0.000545293104009752	0.000602057098038499	0.000621916918066921	0.000700549074665097	0.000694572400754193	0.000875040379755194	0.00103499650305857	0.00108730200297271	0.00122523159935856	0.00110741870634559	0.00105822685220421	0.00110518526803906	0.00109433560028635	0.00112070185248803	0.00113678042753982	0.0011577000526098	0.00113715853064293	0.00139168862890223	0.00165791851232684	0.00176260985018193	0.00186924453963483	0.00211784098414325	0.00221142145998429	0.00210807449402668	0.00196139219693215	0.00188326720648481	0.0018982790998053	0.00202154674738224	0.00179429780771551	0.00163179073358452	0.00171612749246655	0.00179928936890393	0.00190569654215012	0.00179122274026331	0.00191689987311516	0.00179024595186324	0.00170151467114853	0.0017184789028902	0.00147594910823289	0.00150450119795589	0.00167435358465303	0.00169509655239665	0.00176066847516569	0.0018116543398494	0.00189192611061976	0.00199886557298444	0.00220738392892224	0.00236828192477954	0.0024964519780761	0.00243787725768481	0.00242395595463227	0.0025421979590438	0.0025669466846972	0.0028354064104427	0.00266841628564905	0.00277363718231969	0.00255615798045007	0.00285173119080685	0.00277025790553193	0.0027858708895212	0.00254897319182982	0.00228939507987442	0.00226154136621086	0.00215706103828605	0.00216893388286951	0.00231065752600685	0.00236315458027176	0.00266634764014228	0.00258530432875668	0.00247781710307485	0.00246948505232185	0.0025926301788369	0.00239855699587083	0.00242686004177018	0.00250566801660614	0.00255391844175751	0.00253029277105828	0.00269614882638552	0.00236103868514408	0.00225706680379328	0.0023536964340857	0.00254642130835747	0.0026677126899371	0.00274549284098736	0.0027414828996981	0.00286196758007857	0.00276196130827292	0.00254714334404522	0.00273230832823604	0.00258376501537782	0.00247717215943374
"6"	1000	0	0.9	10	10	0	3.77220192133214e-05	8.06978329634205e-05	0.000113491250631451	0.000111381241242839	0.000161133416305598	0.000212688566935399	0.00024466323185201	0.000365125598305887	0.000551310355542656	0.00063478719694498	0.000710505945952669	0.000813176495332668	0.00090990370796268	0.00119776703273432	0.00132685967330838	0.00129216966287219	0.00142252252870193	0.0013179118324915	0.00131589695137775	0.00131910329425936	0.00103655587757896	0.00102301648735083	0.000998609598797569	0.00119167773933813	0.00112816591119671	0.0013505547688734	0.00125055302133921	0.00124534701550247	0.00120533175437324	0.0014731271312992	0.00133395740750409	0.00128959308572579	0.00130563045650199	0.00124002485505656	0.00125451637282389	0.00114484707833665	0.00129428117555932	0.00134415100221894	0.00131132964998431	0.00124360646853513	0.00132920678064729	0.00143257459660539	0.00172171108248309	0.00180198436621765	0.00172253908104072	0.00171954923796273	0.00184138767856312	0.00181233876938277	0.00182982013695639	0.00200592252251341	0.00205448986816926	0.00186154157349856	0.00177160778301299	0.00188133095339575	0.00222677344888966	0.0023211725658308	0.00219652092260992	0.0022805806735128	0.0022816845408549	0.00240955991488441	0.00263748179823608	0.0024356408628226	0.00228552506443084	0.00248738665236002	0.00233117748007881	0.00225294294567513	0.00227943098608047	0.00222353897028343	0.00208963670164465	0.00212246049306954	0.00225691897796178	0.00240299339899935	0.00254258738290401	0.00264274041832835	0.00287182376078873	0.00274178433649624	0.00242275128414919	0.00227785110853247	0.00237288641554064	0.00233994628628996	0.00236620433162167	0.00247502356434493	0.00234049844500379	0.00237842398188548	0.0024412237487048	0.00266953905059056	0.00277288901428635	0.00304981744211483	0.00308712412882308	0.00332983771832295	0.00345245237103871	0.00325818511983128	0.00342172409782477	0.00342750822597686	0.00337071348999635	0.00345060409216477	0.00401827221412007	0.00413832043144148	0.00422308888936674	0.00437694624935099
"7"	1000	0	0.9	10	10	0.5	3.09044960493089e-05	8.61809127844469e-05	0.000114344357827318	0.000161421883445143	0.000193824586532826	0.000271242550235496	0.000331246481968004	0.000330274224720654	0.000349921839100713	0.000338488513019662	0.000447518155385222	0.000419750673933499	0.00041628268081537	0.000277211476832171	0.000265768606405312	0.000255887935823502	0.000389101802574351	0.000466252045115677	0.000474815333067629	0.000425943932342512	0.000499278220916173	0.00061890804437557	0.000644526098799487	0.000787787289498878	0.000720077841017353	0.00067391704645726	0.000756246533310631	0.000797794452577281	0.000937933757700451	0.00086358254875921	0.000863206336155445	0.000925935349974856	0.000887137616097857	0.000994556076528303	0.00102394136534258	0.000980559149148464	0.000937289800957871	0.000968176236467311	0.00120919960062988	0.00123946583221662	0.0013480881025138	0.00126577295553616	0.00145829952368362	0.00163421345133745	0.00163874249477608	0.00152850763739768	0.00157525922000309	0.00182310094482852	0.00208403754749615	0.00201995334144105	0.00184620413453914	0.00192753452754622	0.00217744930775157	0.0020323278912757	0.00200459811379122	0.00218087204829423	0.00214343393962441	0.00220776845049984	0.00245952209756084	0.00244597619659235	0.00259856298247552	0.00287608026483283	0.00268096581892734	0.00297659782362128	0.00300486182350874	0.00309761721399483	0.00323525265021337	0.00343031936982689	0.00328733521785631	0.00314951779125511	0.00304140476096257	0.00306808808865778	0.00297498910933807	0.00268739751588919	0.00276820199035782	0.00291392614834168	0.00310710006905785	0.00342632804899668	0.00308945205020708	0.00298683827730302	0.00291342408798681	0.0030793835096114	0.00304210748702486	0.00287239024703455	0.00289078811678765	0.00301690261758287	0.0029165691410536	0.00284071810334349	0.0030359820620651	0.00361917102937265	0.00354839130014253	0.00365446767678798	0.00325811957652829	0.00335921402963226	0.00340452382703212	0.00333518148492794	0.00332574029491731	0.00326178361211971	0.00340080877394792	0.00318592779801079
"8"	1000	0	0.9	10	10	0.9	5.03435068505344e-05	0.000123364911719607	0.000149221186411636	0.000197592810694536	0.000278275287693352	0.000356382045522687	0.000455999121458777	0.000536759580126885	0.000499737580496613	0.000597220818854021	0.000647421244899245	0.000875812176364672	0.00103717475196702	0.00109693036368044	0.00118553825133541	0.00137059964735123	0.00141381303063804	0.00153903798967319	0.00156505659553989	0.00156053656209942	0.00160117835717425	0.00122660278787024	0.00112736367626983	0.00120948304796604	0.00128254603545615	0.00149892799355986	0.00165667851651517	0.00185454724359046	0.00192438348719113	0.00198265187596757	0.00177439491728056	0.00176922151275349	0.00185526905836414	0.00203828232645241	0.00215424759420957	0.00205725826455515	0.00200851790237697	0.00192623661182465	0.00188323175208747	0.00179763365142849	0.00175606522502027	0.00192095454835135	0.00187829601146135	0.00169944463546626	0.00160374428472939	0.00167866240924143	0.00175812796225542	0.00176705607724781	0.00193597350094993	0.0018064610986415	0.0017161866443589	0.00169096949222534	0.00173605377933101	0.00160103995069646	0.00159884769317194	0.00166623722626974	0.00137893934926954	0.00120189559582479	0.00128495927460571	0.00145521127880385	0.00171914730628424	0.00131003305078617	0.00128137510861197	0.00146110021094398	0.00157178979175071	0.00167969662836383	0.00179397406193918	0.00199937150893311	0.00198179271446715	0.00191905904542624	0.00193382906689263	0.001966328209025	0.00201281385331554	0.00220840634317512	0.00227743416075556	0.0024448052943997	0.00253638939338451	0.00268565856580693	0.00275095392502382	0.0031624889138635	0.00316083220195028	0.00302828763029131	0.00317491884374745	0.00303869589090219	0.00299419662406108	0.00310652529769409	0.00295170202395485	0.00285501264475596	0.00301729022338712	0.00318960318430227	0.00278577086586955	0.00260744308191846	0.00262973280263779	0.0027821566113446	0.00284404975320331	0.00301342465424823	0.00311849989182188	0.0029603068189518	0.00295989667581763	0.00308416750156398
"9"	1000	0	0.9	10	10	-0.5	4.02521802967146e-05	9.29213159106853e-05	0.000178712846602727	0.000359145404571839	0.000464904152468691	0.00062756355628442	0.00063579634225819	0.00070306064672123	0.000778004860318412	0.000842555056180157	0.000988565449458953	0.00113525926053951	0.00111423770681284	0.00113701352325601	0.00118739784233294	0.00112927178835142	0.00114333265082038	0.00135017567884657	0.00144273770429412	0.0014923752863078	0.00149336598054457	0.00146989164535051	0.00143136625661864	0.00145270968614208	0.00124304910533814	0.00128643385635065	0.00153838174736218	0.00151373948668073	0.00172968391210106	0.00179055528017061	0.00165895993260083	0.00196078192581719	0.00189839853848163	0.00180637625897033	0.00225175697683547	0.00246501322651011	0.00253706930879787	0.00293967693124479	0.00281348463048545	0.0029934069318809	0.00310254508439733	0.00324893419758655	0.00338903463814897	0.00341389842401004	0.00338403692625303	0.00322647138191214	0.00286700315857912	0.00285703689181171	0.00278168366264169	0.00279559098918906	0.00319081660120128	0.00335305711490953	0.00332865761491717	0.00307290923014872	0.00290937184668043	0.00315433968007784	0.00314718649880157	0.00313764799175294	0.00334649945532645	0.00345558744585548	0.00386025126257199	0.00367555585327025	0.00318713223898105	0.00336266836312747	0.00346571887175757	0.00364989248950589	0.00376650977286136	0.00369392731203012	0.00349414599591449	0.00372976637888432	0.00377246841867556	0.0033601456811102	0.00355898670147592	0.00363454584249207	0.00395816108831153	0.00391793555614166	0.00390179531557308	0.00397482287434655	0.00398272090895582	0.00393201427938993	0.00408412000465361	0.00386781850687836	0.00386581438343117	0.00376540286673699	0.00381002122386599	0.00355278116832682	0.00316599647434102	0.0032625184486395	0.00317911572307225	0.00333188124813315	0.00323986133000113	0.00336524235404955	0.00315512050941578	0.00295211610191681	0.00293150797658568	0.00311579802527723	0.00311989333647173	0.00299415656136046	0.00316988189665843	0.00326285743924204
"10"	1000	0	0.9	10	10	-0.9	3.1866422568136e-05	7.54799958384322e-05	9.09396295329354e-05	0.000145933367831931	0.000237986305888004	0.000254747236032575	0.000306399832244729	0.000313555260855566	0.000458056165772846	0.000575624155494616	0.000569649107333399	0.000723268531824767	0.000724820709048761	0.000955415246996172	0.000945268770086244	0.000885476201329884	0.000871429226822769	0.000880422482333236	0.000930283418196726	0.000919136813865124	0.000850035327770106	0.000933094860097923	0.00091689943667609	0.00113065197258931	0.00110410965940041	0.00122228745253178	0.0013694250471224	0.00128691898458288	0.00137773426759184	0.00119328222914226	0.00129101663730845	0.00127116325241558	0.00124404126189269	0.00141594735521768	0.00150159709670564	0.00124096134222395	0.00148271123237382	0.00153679653239576	0.00166153106379795	0.00177551317947985	0.00153195902503002	0.00162017750420333	0.00185829507459294	0.00195566091118318	0.00214705756524061	0.00227606075157119	0.00204140986333545	0.00202424326530332	0.00229878834337176	0.00231886752688134	0.00238894577298916	0.00262755364733902	0.00275113861826711	0.00287086108661347	0.0031065618977558	0.00294547107341188	0.00278778333629915	0.00262358742689282	0.00267235956661261	0.00279849180771857	0.00290314080716426	0.00292462102664615	0.00314412814708139	0.00305642406863643	0.00315740407802104	0.00279844431342182	0.00312677811992994	0.00328757150212236	0.00319386268321448	0.00313657427758526	0.0034998957461952	0.00379936013140456	0.00380213657931754	0.00369383015246149	0.00351901890025238	0.00371320714923095	0.00339628182449173	0.00324495098328589	0.00288637280840776	0.00320297701232564	0.00353362503834953	0.00396786037862972	0.00356682562583179	0.00344186317485092	0.00327770257047495	0.00320003089784806	0.00293310478237839	0.00311735042258679	0.00321534884519552	0.00327808676836388	0.0030741122562447	0.00287850680270126	0.00305025272483594	0.00314410824402106	0.00299924177886483	0.00316360074923083	0.00315421702482348	0.00320781289781655	0.00332211897467887	0.00320737572822789
